_id,word_count,negative_score,neutral_score,positive_score,compund_score,cases,Year,Month,Day,keyword
nyt://article/b938102a-ce52-5552-bc6d-f82382e4bbf5,849,0.147,0.698,0.155,-0.7016,4,2019,10,4,mental_health
nyt://article/e4cda586-e928-5ea6-b992-d6dd43ffd12a,1230,0.24,0.647,0.112,-0.9991,8,2019,9,27,mental_health
nyt://article/21f047ec-1180-59ae-a566-5b5dbc16c5d5,646,0.155,0.728,0.117,-0.9706,19,2019,9,12,mental_health
nyt://article/7eacfc15-55e2-59d4-987c-c31f2d3bf985,1844,0.161,0.663,0.175,-0.7239,3,2019,9,24,mental_health
nyt://article/9f89ed23-0bb6-51ca-95f3-34e63c7466cc,1055,0.085,0.784,0.131,0.9841,2,2019,9,23,mental_health
nyt://article/15a4e16d-d6f8-56c6-b585-9c74d039eb56,696,0.182,0.702,0.116,-0.99,3,2019,10,9,mental_health
nyt://article/8fd1912e-f902-583f-a8fa-6cf9f857021d,649,0.263,0.589,0.148,-0.9941,2,2019,10,7,mental_health
nyt://article/79eff7e5-4e3c-537f-ac41-fb2743c44c1b,884,0.183,0.797,0.019,-0.9974,2,2019,10,7,mental_health
nyt://article/e8ab29a4-e2fe-5e23-aae3-1d9da7d732f5,224,0.262,0.652,0.086,-0.9637,1,2019,10,1,mental_health
nyt://article/ab2749b9-0251-5dff-9684-e119a3c37040,1067,0.114,0.761,0.125,0.9629,6,2019,9,2,mental_health
nyt://article/77d7ba1a-ab82-529e-a6ef-03c5e844803f,1529,0.141,0.693,0.166,0.9552,10,2019,8,29,mental_health
nyt://article/ad318b2e-414e-5528-b733-d01de6ab72ca,1529,0.088,0.716,0.196,0.9984,4,2019,8,23,mental_health
nyt://article/e6c4d689-da20-592f-a8a3-f08323f422dc,912,0.115,0.694,0.19,0.9916,3,2019,8,21,mental_health
nyt://article/27dd7bcb-2dd7-5cfb-9197-e37091902ff9,1360,0.164,0.705,0.13,-0.9903,6,2019,8,19,mental_health
nyt://article/35ee251b-3229-5123-af19-030b98850ec1,519,0.12,0.708,0.172,0.9773,2,2019,8,19,mental_health
nyt://article/895b7117-816f-5942-af5c-3c99fb73cfbc,1360,0.167,0.684,0.149,-0.9025,1,2019,8,18,mental_health
nyt://article/5aa66008-4e53-56b5-bacd-5b5bd2309d58,1100,0.164,0.607,0.229,0.9947,6,2019,8,17,mental_health
nyt://article/f82d14c2-8cce-5700-9063-3160a65416a4,643,0.225,0.639,0.137,-0.997,4,2019,8,15,mental_health
nyt://article/e09d3c9e-54be-5044-9d14-ca45450f9e91,1223,0.166,0.745,0.09,-0.9967,3,2019,8,16,mental_health
nyt://article/fcc22c2e-468e-5eb1-ba06-77960d20be17,603,0.16,0.736,0.104,-0.9814,1,2019,9,11,mental_health
nyt://article/fd7e99a9-530c-5673-b05b-42b0e65bd473,1746,0.198,0.656,0.146,-0.9963,4,2019,9,10,mental_health
nyt://article/357ce0bd-cdfc-59db-bcd9-6402124db901,707,0.196,0.762,0.043,-0.997,3,2019,9,5,mental_health
nyt://article/389d6873-ee27-521f-85db-703d3791f100,1200,0.107,0.688,0.205,0.9983,2,2019,9,6,mental_health
nyt://article/7dd83cd3-5c9a-516b-bb7d-9a36b366ee0d,1233,0.136,0.773,0.091,-0.9874,2,2019,9,5,mental_health
nyt://article/bce8a055-953d-56d5-9abc-14a7275f9859,1693,0.158,0.66,0.182,0.9712,1,2019,9,5,mental_health
nyt://article/9c443d83-9348-5c71-b35e-242eedacc8bd,1191,0.128,0.686,0.186,0.9925,1,2019,9,3,mental_health
nyt://article/feb4cc5f-2efe-5ff4-870f-c6867623cc67,1270,0.106,0.739,0.155,0.9874,1,2019,8,26,mental_health
nyt://article/2c8cacfe-5d16-52b1-9826-f500f9f98ba5,991,0.121,0.753,0.126,0.7037,11,2019,7,27,mental_health
nyt://article/4527c97c-c8f6-589c-bd21-cebab44ebfff,418,0.204,0.656,0.139,-0.9751,2,2019,7,27,mental_health
nyt://article/fcb830be-1ec3-5cf8-b368-048bf1d6a7c8,1787,0.18,0.67,0.15,-0.9945,11,2019,7,22,mental_health
nyt://article/0da751a8-eb79-5306-b2e1-ba7b3d6c7e87,230,0.104,0.767,0.129,0.5927,3,2019,7,16,mental_health
nyt://article/4979372f-56ad-5912-ad6c-7ca2dbc27f6c,1050,0.11,0.68,0.21,0.9974,1,2019,7,18,mental_health
nyt://article/1b3682e2-d3a8-543e-8070-44543defa22c,2339,0.135,0.714,0.151,0.9058,7,2019,7,17,mental_health
nyt://article/16d3c88b-8328-544b-9896-85469275de3e,1688,0.061,0.805,0.134,0.9969,3,2019,7,16,mental_health
nyt://article/64cbe559-9d46-5542-811b-eba7a490e964,1116,0.231,0.606,0.164,-0.9956,1,2019,7,16,mental_health
nyt://article/bb8c7bee-484a-5af9-a716-2b150d9b4d25,1242,0.089,0.69,0.221,0.9987,13,2019,7,8,mental_health
nyt://article/a721998e-7c43-5da9-bb7f-209000436204,966,0.151,0.642,0.207,0.993,9,2019,6,4,mental_health
nyt://article/e86e65ba-ab15-55a1-8018-1799e9025c69,880,0.199,0.688,0.113,-0.9968,22,2019,7,24,mental_health
nyt://article/d95c4edb-0b0d-5eef-ad9a-10139ab84950,962,0.051,0.829,0.12,0.989,1,2019,11,26,mental_health
nyt://article/8b73f2a8-69c4-5aca-976d-b7ea78b90ded,934,0.362,0.519,0.119,-0.9997,12,2019,8,8,mental_health
nyt://article/42f30e75-f636-5930-8a99-378363c7997b,1178,0.065,0.793,0.142,0.9941,7,2019,8,8,mental_health
nyt://article/d008eefd-f6c1-5ed9-adde-9c4244c42a21,993,0.105,0.729,0.166,0.9868,5,2019,11,14,mental_health
nyt://article/3af97d3a-55de-5daf-b1cf-5daa2015cdd0,1350,0.17,0.753,0.077,-0.9974,4,2019,8,6,mental_health
nyt://article/c1e44cbd-15e7-598e-9106-9ec45232d179,999,0.293,0.622,0.085,-0.9995,3,2019,8,5,mental_health
nyt://article/f42ace79-f7b6-5b5e-a295-bb9308f354ea,831,0.032,0.876,0.092,0.9801,1,2019,10,13,mental_health
nyt://article/b074570f-914b-571a-b25e-9e35805a5449,1021,0.163,0.639,0.198,0.8074,4,2019,8,1,mental_health
nyt://article/16261dc1-1ee5-5f28-abe0-c669ef1a3855,1399,0.13,0.759,0.112,-0.7561,5,2019,8,1,mental_health
nyt://article/1b4c2de5-23d8-5de5-8ab2-14ad393c5fbc,1743,0.111,0.738,0.151,0.9934,17,2019,6,17,mental_health
nyt://article/de559a0a-8959-5d9b-9b7b-26b453c55e2f,859,0.158,0.744,0.098,-0.9844,7,2019,3,7,mental_health
nyt://article/806b1211-c93d-571d-b68d-20343919f85d,1358,0.282,0.601,0.116,-0.9997,4,2019,6,27,mental_health
nyt://article/48a5ea7a-e9c4-522e-a768-f3d2d28de384,780,0.106,0.701,0.193,0.9912,4,2019,1,31,mental_health
nyt://article/860b5cb4-932e-5f11-b547-15e41a3187ee,4295,0.195,0.621,0.183,-0.9832,43,2019,9,19,mental_health
nyt://article/ea0ebda4-5c87-54b4-babd-e05293e3b144,665,0.067,0.746,0.187,0.9959,8,2019,2,21,mental_health
nyt://article/20058a3a-bf3a-58ed-bfb1-7708260991f9,1397,0.141,0.68,0.178,0.9803,2,2019,6,18,mental_health
nyt://article/3f7c92e2-c832-5acb-8acb-df44c2e20638,701,0.178,0.706,0.116,-0.9894,8,2019,1,24,mental_health
nyt://article/12fdc070-9012-5dc6-a5f0-2ced32d7bd09,568,0.182,0.71,0.108,-0.9865,4,2019,2,20,mental_health
nyt://article/4b0274e8-f8e3-5589-b828-172a0c8eb111,548,0.022,0.806,0.171,0.9936,1,2019,7,3,mental_health
nyt://article/a62a9bf4-6dd5-57e8-b705-893ade259655,647,0.154,0.579,0.267,0.9948,0,2019,7,13,mental_health
nyt://article/c28d01ac-71ca-5a91-94c3-f6a1fd69a84e,494,0.103,0.771,0.127,0.6705,7,2019,5,3,mental_health
nyt://article/5f43ec3f-50c6-5e26-a711-d315bc77569f,1153,0.143,0.724,0.133,-0.0885,8,2019,2,21,mental_health
nyt://article/a956b014-605e-5ffe-a956-d5f65a8232c8,1009,0.231,0.654,0.116,-0.9981,8,2019,6,28,mental_health
nyt://article/dcf718ac-66dd-50a5-81b7-7c214efd7834,1267,0.193,0.436,0.371,0.9997,1,2019,7,1,mental_health
nyt://article/79247ea3-c565-54f5-94b0-706723c6c3db,194,0.093,0.88,0.027,-0.8271,0,2019,3,27,mental_health
nyt://article/2dd40299-7e91-561b-b239-545ae5d8530c,1060,0.14,0.732,0.127,-0.9567,6,2019,6,28,mental_health
nyt://article/6042928d-7425-5af3-90e2-71bd7f730b6a,1179,0.095,0.791,0.114,0.9077,3,2019,5,31,mental_health
nyt://article/ee7b6c75-42ee-592f-93d9-d1453ac71bc8,829,0.28,0.578,0.142,-0.9987,1,2019,5,31,mental_health
nyt://article/e5baea43-9b06-5c3a-9166-908a1f37aed2,1652,0.288,0.605,0.107,-0.9998,1,2019,5,30,mental_health
nyt://article/9ec95ca5-aa03-5fb9-a89f-c22d647083bb,1129,0.126,0.729,0.146,0.9403,2,2019,5,20,mental_health
nyt://article/ca707652-c092-5e47-98d6-1e9d2209a88c,416,0.188,0.661,0.152,-0.9155,2,2019,9,8,mental_health
nyt://article/b441c66b-6bcc-5e96-b6e0-29c5159d21cc,1056,0.146,0.679,0.175,0.9687,4,2019,5,10,mental_health
nyt://article/900c618e-1eca-5de8-93a6-4c1e8386b9bc,1301,0.119,0.587,0.295,0.9996,4,2019,5,8,mental_health
nyt://article/ef15f5df-a785-5e3a-9eb0-d6f6c2b20ef6,1514,0.134,0.664,0.202,0.997,2,2019,5,17,mental_health
nyt://article/d533578e-67ba-55d3-8e24-954de7655db5,1035,0.146,0.689,0.164,0.9127,13,2019,4,24,mental_health
nyt://article/224854de-6ed0-5199-a4c6-df250b14b474,1601,0.156,0.647,0.197,0.9952,3,2019,5,9,mental_health
nyt://article/72014faa-c910-5385-bdf7-b1d47c4f995f,1045,0.146,0.765,0.089,-0.9944,0,2019,6,21,mental_health
nyt://article/bc749cdf-2a2b-52c2-bafe-d8ebac25e4a1,1096,0.201,0.678,0.121,-0.9971,7,2019,6,18,mental_health
nyt://article/59f65e8c-dbb5-526f-b698-a214f0901804,1086,0.213,0.684,0.103,-0.9968,20,2019,1,23,mental_health
nyt://article/b4a2302f-bbef-504c-8090-ebc4b929a898,1735,0.116,0.624,0.26,0.9996,3,2019,4,17,mental_health
nyt://article/6e0ba4f8-dbb0-5812-ac35-eb7ecf46df13,890,0.286,0.615,0.1,-0.9991,2,2019,4,29,mental_health
nyt://article/ae2ab6e2-b228-5ef4-be56-59fc2d2ae637,1200,0.173,0.691,0.136,-0.9899,2,2019,4,22,mental_health
nyt://article/963a6d50-5eda-5dc6-a1fa-60acf090f79c,1089,0.107,0.67,0.223,0.9984,6,2019,3,28,mental_health
nyt://article/930cda50-0c91-5879-92d4-0dca03b5d839,629,0.121,0.733,0.146,0.8661,12,2019,2,4,mental_health
nyt://article/84242428-5e5e-5fc8-8a8c-cf2652c14b3b,2115,0.088,0.78,0.132,0.9938,5,2019,4,17,mental_health
nyt://article/25e93472-e270-5404-812d-d4fc7b1a3cce,1702,0.128,0.679,0.193,0.9979,15,2019,2,21,mental_health
nyt://article/c71d4587-27cb-5bd0-951a-05a68f6e9b7d,551,0.129,0.825,0.046,-0.9858,4,2019,2,7,mental_health
nyt://article/e53d3896-8fd2-51b4-845d-4a312252430f,589,0.093,0.732,0.176,0.9793,8,2019,2,7,mental_health
nyt://article/ed0d2c84-8239-5ac9-8022-b6addb586c12,903,0.275,0.611,0.114,-0.9991,2,2019,6,8,mental_health
nyt://article/348e7f1c-e88e-5cc6-8a7f-250fa8f1e17d,699,0.234,0.533,0.233,-0.349,3,2019,6,3,mental_health
nyt://article/d5400473-9d74-506c-9c80-19d3966ceddf,1098,0.192,0.613,0.195,0.589,3,2019,6,6,mental_health
nyt://article/908dbb74-fbfe-5f9f-9047-ed46ab55cb1f,253,0.258,0.637,0.105,-0.9831,4,2019,10,11,mental_health
nyt://article/8f181aed-ff9a-5903-8493-667f33e19aca,1196,0.185,0.682,0.132,-0.9941,3,2019,6,3,mental_health
nyt://article/ebc63fea-7f82-5c68-9a96-8346b5937bf1,1555,0.118,0.578,0.305,0.9996,1,2019,6,3,mental_health
nyt://article/c73a66a4-0a49-5675-8300-38cfbdcc74c9,1165,0.178,0.658,0.164,-0.9643,7,2019,5,30,mental_health
nyt://article/a63f82cf-efc2-5628-a1e1-0995396378e8,888,0.241,0.63,0.129,-0.9981,2,2019,5,30,mental_health
nyt://article/6c588ac1-d88d-5cf2-ab7a-ce73feee25ba,942,0.1,0.643,0.257,0.999,2,2019,3,11,mental_health
nyt://article/9ecd9420-5ac4-5d98-b26d-07dd15b3dc9b,176,0.084,0.8,0.116,0.4731,1,2019,1,24,mental_health
nyt://article/22fed2a8-7121-5fa0-a3f6-f4a4f925ba1e,1157,0.112,0.763,0.126,0.9208,3,2019,11,13,mental_health
nyt://article/a7f14ddb-a1b2-5501-9f3e-e6aae2a2783f,686,0.112,0.698,0.19,0.9886,2,2019,2,26,mental_health
nyt://article/f461dd7f-1fd4-5be6-81d4-f91efe951637,1040,0.115,0.712,0.173,0.9892,1,2019,3,28,mental_health
nyt://article/2829638d-36c2-5d5e-a6af-8ce4fd75909a,1063,0.092,0.682,0.226,0.9986,1,2019,4,3,mental_health
nyt://article/ceb42219-5425-5bda-8ceb-ff7f0e43dd38,1171,0.148,0.696,0.157,0.839,7,2019,2,13,mental_health
nyt://article/d80612cf-823f-589a-9d21-242473f560ff,1773,0.161,0.737,0.103,-0.995,9,2019,10,6,mental_health
nyt://article/b9cf1284-0332-504f-931e-4d279a9243cc,1428,0.16,0.608,0.232,0.9967,6,2019,5,27,mental_health
nyt://article/87b8625f-eddc-5b21-b624-52c01b828a7c,1274,0.085,0.737,0.179,0.9981,1,2019,1,30,mental_health
nyt://article/30ee245e-f2de-5c38-8036-b0b749f6c03e,1607,0.108,0.715,0.176,0.9966,1,2019,6,12,mental_health
nyt://article/7af26d79-4225-5dc6-b409-54f843d382b3,958,0.062,0.862,0.076,0.7845,1,2019,5,14,mental_health
nyt://article/fdc3ca45-0739-5635-ad3d-478671cefe59,810,0.131,0.826,0.043,-0.9925,2,2019,5,7,mental_health
nyt://article/03529547-88a2-5e77-ab62-7227d0a2f1d4,1315,0.263,0.603,0.134,-0.9991,4,2019,4,30,mental_health
nyt://article/3b797fca-e500-5b0e-a47e-a91037b6163b,667,0.191,0.729,0.08,-0.9961,3,2019,4,29,mental_health
nyt://article/7c7788f8-7ea0-58df-b354-bddd18d0f00b,1283,0.212,0.631,0.158,-0.9964,1,2019,5,9,mental_health
nyt://article/29667572-1508-5ecb-a376-7ee34b422363,1200,0.25,0.61,0.14,-0.9987,4,2019,4,26,mental_health
nyt://article/28228ed8-e42e-5db1-830b-3ad2f7e96f0a,213,0.31,0.636,0.054,-0.9877,1,2019,4,17,mental_health
nyt://article/c197ed7b-1b50-5460-9348-5d4f37724d1b,1209,0.128,0.703,0.169,0.9795,14,2019,1,29,mental_health
nyt://article/689bbdf2-2fa4-5df1-9291-ced6ccab14f4,1112,0.167,0.709,0.123,-0.9901,11,2019,3,15,mental_health
nyt://article/b53ec101-d19a-5ff2-9bdb-8ea711fc7ce2,881,0.084,0.738,0.178,0.9941,1,2019,5,1,mental_health
nyt://article/a7bb4be0-c128-5560-a59d-0ce1003457fd,1505,0.065,0.784,0.151,0.9985,1,2019,3,27,mental_health
nyt://article/44437aac-0bcf-5ba0-811c-ba1ff905109d,1692,0.07,0.727,0.204,0.9995,1,2019,7,29,mental_health
nyt://article/0a743808-8752-57f5-9d0d-39c21598893c,936,0.074,0.714,0.212,0.9976,2,2019,7,19,mental_health
nyt://article/fe5ae2b6-7965-5073-aa55-f2e2185f3f3c,1236,0.154,0.718,0.128,-0.9852,4,2019,2,1,mental_health
nyt://article/18fb533b-9be3-57dc-9fe0-203b8db989cc,1047,0.306,0.564,0.131,-0.9996,5,2019,11,1,mental_health
nyt://article/9856b169-d906-5bb7-a883-640aafc00088,527,0.144,0.74,0.117,-0.8442,2,2019,1,12,mental_health
nyt://article/6ee21611-8f9c-5150-87ed-31277edf9ab5,1451,0.075,0.781,0.144,0.996,1,2019,9,3,mental_health
nyt://article/92dce97d-ab9b-5699-b14e-6cf674fb58cf,340,0,0.782,0.218,0.9935,2,2019,8,12,mental_health
nyt://article/4df876b2-43fb-575d-9ef3-a79a27e1e797,1145,0.106,0.719,0.175,0.9956,1,2019,4,20,mental_health
nyt://article/5747f78a-baa1-5186-ba77-dbc537ce277b,495,0.033,0.816,0.151,0.9876,2,2019,4,5,mental_health
nyt://article/41dd2c69-d2f8-5bab-b34c-952d4bb8e83f,898,0.077,0.694,0.229,0.9982,11,2019,11,3,mental_health
nyt://article/31464138-7fa0-5c68-b4a1-c916620f0d38,850,0.066,0.7,0.234,0.9988,2,2019,11,16,mental_health
nyt://article/c5a585a5-8382-5431-921f-95a8cf5034a0,915,0.137,0.709,0.154,0.8321,5,2019,6,23,mental_health
nyt://article/3cb696c7-37f9-57f0-bda2-8e3afeae6389,792,0.096,0.597,0.307,0.9993,1,2019,5,27,mental_health
nyt://article/83941e40-4b09-5dd0-aefe-179944c4c71f,547,0.044,0.845,0.111,0.9623,5,2019,1,30,mental_health
nyt://article/84363be9-f9e0-50d6-9426-fdd224d4bbc7,1316,0.038,0.703,0.259,0.9997,4,2019,2,3,mental_health
nyt://article/cc0dba7c-cd52-54e9-8ba7-1dfa62ebd20f,1308,0.063,0.764,0.173,0.9986,2,2019,9,24,mental_health
nyt://article/dcd25ca1-ba9a-5bf4-aec3-363740c41c61,1451,0.086,0.791,0.123,0.9923,1,2019,10,27,mental_health
nyt://article/9276fd13-22fc-579a-9884-76f3c4cc4298,985,0.079,0.755,0.166,0.9951,2,2019,2,28,mental_health
nyt://article/014bd770-59cf-5bc9-b72c-4a8e12ab748a,1442,0.077,0.709,0.214,0.9993,3,2019,10,17,mental_health
nyt://article/808daacd-4b4d-5e1b-8ce9-9ae91a16d2c4,1466,0.128,0.75,0.122,-0.9369,3,2019,8,7,mental_health
nyt://article/f79ccf85-b688-57ad-8bf1-08c3809ebd5a,1343,0.254,0.634,0.112,-0.9994,3,2019,3,30,mental_health
nyt://article/5bc977c6-2e96-5a1f-a58c-9e1cb7a5ecd9,692,0.228,0.647,0.125,-0.9977,3,2019,8,13,mental_health
nyt://article/67f0d92a-4954-5905-b1ae-8f8488b968f9,915,0.125,0.58,0.295,0.9988,4,2019,3,28,mental_health
nyt://article/103e33ba-43f3-5a70-be2a-d6dd65a45ec9,1034,0.196,0.664,0.14,-0.9961,3,2019,1,4,mental_health
nyt://article/67391a87-3d45-5f58-9e62-bae1520e52fa,920,0.064,0.707,0.229,0.999,1,2019,1,16,mental_health
nyt://article/05c3b09c-156d-5195-b722-310df1d5736c,790,0.126,0.733,0.141,0.3543,0,2019,4,15,mental_health
nyt://article/fc095f4c-d65c-5410-9af0-9379f0c07054,884,0.179,0.669,0.152,-0.9839,2,2019,2,13,mental_health
nyt://article/a6a9b482-a8ef-514d-9b67-1066f00795c1,248,0,0.892,0.108,0.9501,1,2019,9,3,mental_health
nyt://article/a87e63e0-33fc-5d81-a7f4-c878398bc569,1313,0.168,0.686,0.146,-0.9802,3,2019,6,23,mental_health
nyt://article/50b21a4c-f3c2-5d9a-aa0e-94d90638d53c,1971,0.137,0.644,0.219,0.999,2,2019,8,26,mental_health
nyt://article/25c52b72-e8d5-5ade-a3c5-83144f1f5c69,1377,0.18,0.637,0.183,-0.6914,3,2019,2,18,mental_health
nyt://article/378bb947-9591-5912-b463-80b056284373,838,0.154,0.706,0.14,-0.8696,1,2019,1,10,mental_health
nyt://article/589f5b46-b88c-5a23-baf2-5871e3ed373e,499,0.032,0.773,0.196,0.9936,2,2019,2,5,mental_health
nyt://article/b3e64dc9-e134-52c1-81dc-c4d809b15507,478,0.044,0.88,0.075,0.5423,1,2019,10,22,mental_health
nyt://article/c06b7f7b-1bc7-5651-90b0-974f2cb7128d,1378,0.088,0.77,0.142,0.9833,2,2019,3,12,mental_health
nyt://article/65d4fa47-85af-5240-8c47-88f0bc79e7f1,1772,0.123,0.708,0.169,0.994,5,2019,6,19,mental_health
nyt://article/d1322e27-5f0c-5dce-869a-ea2c8e100be4,196,0.065,0.892,0.044,-0.5859,1,2019,10,6,mental_health
nyt://article/9cce5f37-8112-5db7-866c-506adf9de8c8,1075,0.036,0.762,0.202,0.9989,1,2019,11,6,mental_health
nyt://article/aecebab1-fe6c-534f-a66f-1b64a60aa8ba,1439,0.22,0.642,0.138,-0.998,5,2019,1,15,mental_health
nyt://article/d0338dbb-15cd-51ca-ab09-41c744628f7b,1062,0.079,0.755,0.166,0.9973,1,2019,4,26,mental_health
nyt://article/91c1b8c1-98bb-59e4-9178-0ea965c451ca,722,0.093,0.735,0.172,0.9876,5,2019,1,9,mental_health
nyt://article/c68642f4-dcf0-5312-842e-dc1de2b63a7e,1533,0.139,0.559,0.302,0.9995,2,2019,4,9,mental_health
nyt://article/451a63ea-6a3c-5138-b6f3-dc3a35c1b376,591,0.117,0.799,0.084,-0.9578,2,2019,10,2,mental_health
nyt://article/d7c71271-cec7-5105-b6f5-4ab52d3686cc,789,0.187,0.731,0.081,-0.9967,0,2019,4,11,mental_health
nyt://article/a4def4a4-b77f-5c5d-9264-fc121af2547b,5824,0.064,0.651,0.285,0.9999,7,2019,2,14,mental_health
nyt://article/001b657d-e7a7-5208-9c76-4a8c3546540d,653,0.14,0.73,0.13,-0.6249,2,2019,10,8,mental_health
nyt://article/f5045421-b555-589e-ad3c-6ba8236d4f48,1065,0.243,0.617,0.14,-0.9989,5,2019,9,26,mental_health
nyt://article/6b1197af-e937-5f93-bd1e-3fd81000e9af,519,0.112,0.793,0.095,-0.7845,1,2019,8,29,mental_health
nyt://article/23be0748-f59e-50bf-be03-d36e98a21ed8,914,0.138,0.709,0.152,0.8047,1,2019,2,12,mental_health
nyt://article/2292343c-efc6-51c7-ba25-7605d1a45ffd,1206,0.081,0.737,0.182,0.9982,6,2019,7,3,mental_health
nyt://article/6840f0a3-ecc9-5990-b32b-f6114efad709,1125,0.038,0.752,0.21,0.9991,4,2019,3,14,mental_health
nyt://article/c9d7c3ac-de25-580e-aaf4-c68b462a23bc,839,0.275,0.607,0.118,-0.9989,3,2019,8,8,mental_health
nyt://article/3442b63e-2a0b-5b8e-bc98-fb8403256a72,219,0,0.904,0.096,0.926,1,2019,11,24,mental_health
nyt://article/c4316c02-23e4-5156-abb2-c0a172687030,821,0.105,0.801,0.094,-0.8406,2,2019,3,11,mental_health
nyt://article/288b3b2c-868e-502f-be0c-31b9a23f37c8,634,0.086,0.73,0.184,0.9903,2,2019,10,16,mental_health
nyt://article/62deb40b-8333-528e-8e26-465c52988b54,781,0.241,0.668,0.092,-0.9985,1,2019,10,10,mental_health
nyt://article/0b6b4a11-e267-5682-b7bf-c70aa1fc93d1,482,0.229,0.693,0.078,-0.9948,2,2019,11,25,mental_health
nyt://article/4271e77d-a7f0-54d4-a78c-c14ba1b47177,952,0.15,0.777,0.074,-0.9941,5,2019,2,10,mental_health
nyt://article/e1ea9931-0cd5-5168-8396-608e5bb37674,1145,0.193,0.664,0.143,-0.9905,1,2019,4,8,mental_health
nyt://article/5bcb8338-ab96-5441-93a3-5ff593ef2b2f,1064,0.099,0.692,0.209,0.9984,2,2019,4,1,mental_health
nyt://article/7235fbdd-26aa-52cc-91b5-df07619375c0,219,0.026,0.908,0.066,0.7964,1,2019,3,10,mental_health
nyt://article/0e55ca84-10ff-57d1-a77a-d8f78b1b5865,1194,0.068,0.746,0.186,0.9981,3,2019,6,11,mental_health
nyt://article/f0bcbee8-7af6-5df1-8051-c107cb86999c,1047,0.075,0.799,0.126,0.9905,1,2019,6,4,mental_health
nyt://article/79d9610e-aa9f-52fc-8cac-cb9ad580e6b1,805,0.08,0.834,0.086,-0.4641,1,2019,2,5,mental_health
nyt://article/cdfa349f-916b-5879-aa92-697acaf5127e,687,0.128,0.658,0.214,0.9911,1,2019,6,19,mental_health
nyt://article/472034d2-becc-57bf-b800-805ee3bde2cf,1605,0.209,0.71,0.08,-0.9994,6,2019,10,8,mental_health
nyt://article/a3eb794d-2662-582b-9524-45b4e72b8a9e,880,0.106,0.723,0.172,0.9903,1,2019,2,25,mental_health
nyt://article/e0e6005b-84ef-500b-ac33-37af943d78cf,874,0.146,0.763,0.091,-0.9783,2,2019,7,3,mental_health
nyt://article/b3e37784-fa7c-5e58-a50c-43c4968109d6,1930,0.214,0.67,0.117,-0.9995,5,2019,10,13,mental_health
